datetime,wind_power,wind_speed,solar_power,solar_irradiation,temperature
2015-01-03 09:00:00+00,4.57345,5.15,0.16182575,0.016250013,14.30625
2015-01-03 09:15:00+00,4.484045,5.3625,0.01528569,0.001750002,14.1
2015-01-03 09:30:00+00,4.001295,5.4875,0.01091835,0.001250001,13.9
2015-01-03 09:45:00+00,3.518545,5.6125,0.00655101,0.000750001,13.7
2015-01-03 10:00:00+00,3.035795,5.7375,0.00218367,0.00025,13.5
2015-01-03 10:15:00+00,2.601455,5.725,0,0,13.33125
2015-01-03 10:30:00+00,2.215525,5.575,0,0,13.19375
2015-01-03 10:45:00+00,1.829595,5.425,0,0,13.05625
2015-01-03 11:00:00+00,1.443665,5.275,0,0,12.91875
2015-01-03 11:15:00+00,1.223845,5.1125,0,0,12.78125
2015-01-03 11:30:00+00,1.170135,4.9375,0,0,12.64375
2015-01-03 11:45:00+00,1.116425,4.7625,0,0,12.50625
2015-01-03 12:00:00+00,1.062715,4.5875,0,0,12.36875
2015-01-03 12:15:00+00,1.017005,4.5,0,0,12.23125
2015-01-03 12:30:00+00,0.979295,4.5,0,0,12.09375
2015-01-03 12:45:00+00,0.941585,4.5,0,0,11.95625
2015-01-03 13:00:00+00,0.903875,4.5,0,0,11.81875
2015-01-03 13:15:00+00,0.8660975,4.5125,0,0,11.68125
2015-01-03 13:30:00+00,0.8282525,4.5375,0,0,11.54375
2015-01-03 13:45:00+00,0.7904075,4.5625,0,0,11.40625
2015-01-03 14:00:00+00,0.7525625,4.5875,0,0,11.26875
2015-01-03 14:15:00+00,0.7784225,4.6,0,0,11.125
2015-01-03 14:30:00+00,0.8679875,4.6,0,0,10.975
2015-01-03 14:45:00+00,0.9575525,4.6,0,0,10.825
2015-01-03 15:00:00+00,1.0471175,4.6,0,0,10.675
2015-01-03 15:15:00+00,1.15629,4.6,0,0,10.53125
2015-01-03 15:30:00+00,1.28507,4.6,0,0,10.39375
2015-01-03 15:45:00+00,1.41385,4.6,0,0,10.25625
2015-01-03 16:00:00+00,1.54263,4.6,0,0,10.11875
2015-01-03 16:15:00+00,1.6616875,4.5875,0,0,9.975
2015-01-03 16:30:00+00,1.7710225,4.5625,0,0,9.825
2015-01-03 16:45:00+00,1.8803575,4.5375,0,0,9.675
2015-01-03 17:00:00+00,1.9896925,4.5125,0,0,9.525
2015-01-03 17:15:00+00,2.1732,4.56875,0,0,9.36875
2015-01-03 17:30:00+00,2.43088,4.70625,0,0,9.20625
2015-01-03 17:45:00+00,2.68856,4.84375,0,0,9.04375
2015-01-03 18:00:00+00,2.94624,4.98125,0,0,8.88125
2015-01-03 18:15:00+00,3.32108,5.15,0,0,8.74375
2015-01-03 18:30:00+00,3.81308,5.35,0,0,8.63125
2015-01-03 18:45:00+00,4.30508,5.55,0,0,8.51875
2015-01-03 19:00:00+00,4.79708,5.75,0,0,8.40625
2015-01-03 19:15:00+00,5.0436425,5.9,0,0,8.30625
2015-01-03 19:30:00+00,5.0447675,6,0,0,8.21875
2015-01-03 19:45:00+00,5.0458925,6.1,0,0,8.13125
2015-01-03 20:00:00+00,5.0470175,6.2,0,0,8.04375
2015-01-03 20:15:00+00,4.73868,6.20625,0,0,7.9625
2015-01-03 20:30:00+00,4.12088,6.11875,0,0,7.8875
2015-01-03 20:45:00+00,3.50308,6.03125,0,0,7.8125
2015-01-03 21:00:00+00,2.88528,5.94375,0,0,7.7375
2015-01-03 21:15:00+00,2.404715,5.76875,0,0,7.675
2015-01-03 21:30:00+00,2.061385,5.50625,0,0,7.625
2015-01-03 21:45:00+00,1.718055,5.24375,0,0,7.575
2015-01-03 22:00:00+00,1.374725,4.98125,0,0,7.525
2015-01-03 22:15:00+00,1.1772125,4.7625,0,0.000125,7.48125
2015-01-03 22:30:00+00,1.1255175,4.5875,0,0.000375,7.44375
2015-01-03 22:45:00+00,1.0738225,4.4125,0,0.000625001,7.40625
2015-01-03 23:00:00+00,1.0221275,4.2375,0,0.000875001,7.36875
2015-01-03 23:15:00+00,0.964035,4.1625,0.074764838,0.013375011,7.38125
2015-01-03 23:30:00+00,0.899545,4.1875,0.224294515,0.038125031,7.44375
2015-01-03 23:45:00+00,0.835055,4.2125,0.373824191,0.06287505,7.50625
2015-01-04 00:00:00+00,0.770565,4.2375,0.523353868,0.08762507,7.56875
2015-01-04 00:15:00+00,0.718975,4.25,0.719440251,0.118875095,7.69375
2015-01-04 00:30:00+00,0.680285,4.25,0.96208334,0.156625125,7.88125
2015-01-04 00:45:00+00,0.641595,4.25,1.204726429,0.194375156,8.06875
2015-01-04 01:00:00+00,0.602905,4.25,1.447369518,0.232125186,8.25625
2015-01-04 01:15:00+00,0.583405,4.2625,1.645270359,0.269625216,8.45625
2015-01-04 01:30:00+00,0.583095,4.2875,1.79842895,0.306875246,8.66875
2015-01-04 01:45:00+00,0.582785,4.3125,1.951587541,0.344125275,8.88125
2015-01-04 02:00:00+00,0.582475,4.3375,2.104746132,0.381375305,9.09375
